"filename", "language", "Python", "pip requirements", "Markdown", "Shell Script", "JSON", "XML", "TypeScript", "JavaScript", "TypeScript JSX", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/app/categories/[name]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 490, 0, 0, 0, 42, 532
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/app/globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 5, 39
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 6, 50
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/app/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 4, 62
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/app/settings/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 539, 0, 0, 0, 46, 585
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/BackupSettingsPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 314, 0, 0, 2, 31, 347
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/BookPreviewSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 512, 0, 0, 6, 38, 556
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/BookSettingsFields.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 506, 0, 0, 1, 39, 546
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/BulkPasteInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 6, 82
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/CategorySidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 5, 66
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/CollapsibleSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 5, 63
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/DeleteBookModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 229, 0, 0, 0, 18, 247
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/DeleteCategoryModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 222, 0, 0, 0, 17, 239
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/GeneratePanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 323, 0, 0, 5, 27, 355
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/LanguagePills.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 2, 32
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/NewCategoryModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 9, 105
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/PublishPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 428, 0, 0, 1, 32, 461
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/ReviewPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 287, 0, 0, 1, 21, 309
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/SeoPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 438, 0, 0, 1, 32, 471
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/SettingsUI.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 0, 11, 192
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/TabbedSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 8, 96
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/TemplateField.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 1, 11, 98
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/ThemeToggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 7, 40
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/TranslationsPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 778, 0, 0, 1, 55, 834
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/WordPressPushPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 558, 0, 0, 0, 44, 602
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 3, 19
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/account.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/books.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 5, 22
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/categories.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 5, 22
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/client.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 3, 9, 50
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/generated-types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3593, 0, 0, 0, 0, 791, 2, 4386
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/generation.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/promptDefaults.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/settings.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/translations.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 6, 36, 184
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/next.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 3, 8
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/package-lock.json", "JSON", 0, 0, 0, 0, 6961, 0, 0, 0, 0, 0, 0, 0, 1, 6962
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/package.json", "JSON", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/public/file.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/public/globe.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/public/next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/public/window.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 1, 35
"Total", "-", 3666, 34, 886, 10, 6989, 5, 3894, 20, 6880, 34, 34, 1040, 1769, 25261
