"filename", "language", "Markdown", "Python", "pip requirements", "XML", "JavaScript", "TypeScript", "Shell Script", "JSON with Comments", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/AppShell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 237, 0, 0, 15, 252
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/BackupSettingsPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 314, 0, 2, 31, 347
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/BatchHistoryPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 262, 0, 1, 18, 281
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/BookPreviewSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 520, 0, 8, 42, 570
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/BookSettingsFields.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 573, 0, 2, 41, 616
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/BookStyleSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 272, 0, 4, 19, 295
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/BooksLibrary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 279, 0, 1, 20, 300
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/BulkPasteInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 6, 82
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/CategoriesLibrary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 228, 0, 0, 18, 246
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/CategoryImageStrip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 648, 0, 8, 37, 693
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/CategorySequenceShell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 177, 0, 0, 16, 193
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/CategorySidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 5, 66
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/CollapsibleSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 5, 63
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 259, 0, 0, 20, 279
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/DeleteBookModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 229, 0, 0, 18, 247
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/DeleteCategoryModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 224, 0, 0, 16, 240
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/EditListModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 177, 0, 0, 15, 192
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/ExpandableTextModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 9, 105
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/GenerateSequencePanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 485, 0, 1, 47, 533
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/KnobsPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 227, 0, 3, 19, 249
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/LanguagePills.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 35
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/LanguageSequencePanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 448, 0, 2, 24, 474
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/NewBookModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 0, 0, 12, 145
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/NewBookWizard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 613, 0, 0, 23, 636
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/NewCategoryFromLibraryModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 6, 85
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/NewCategoryModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 10, 105
