"filename", "language", "Python", "TypeScript JSX", "PostCSS", "JavaScript", "Markdown", "JSON with Comments", "JSON", "XML", "TypeScript", "pip requirements", "comment", "blank", "total"
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/settings.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/translations.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 5, 33
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 162, 0, 6, 36, 204
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/next.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 3, 8
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 6704, 0, 0, 0, 0, 1, 6705
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/package.json", "JSON", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 1, 27
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/public/file.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/public/globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/public/next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/public/window.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"Total", "-", 3007, 6228, 34, 20, 119, 34, 6730, 5, 321, 34, 187, 1384, 18103
